Depth,Search,ThreadSearch,OMPSearch
0,3.4765e-05,0.0502377,0.0456912
1,0.000250484,0.0497756,0.0463698
2,0.000543484,0.0497104,0.045743
3,0.00100295,0.0503086,0.0467791
4,0.00138686,0.0522159,0.0467333
5,0.0017787,0.0522359,0.0470332
6,0.00246896,0.0528609,0.0476859
7,0.00307886,0.057828,0.0488074
8,0.00374273,0.0514752,0.0489659
9,0.00517902,0.0581076,0.0515658
10,0.00682749,0.0616042,0.055787
11,0.0090378,0.0630493,0.0568454
12,0.0113034,0.0630179,0.060034
13,0.0119838,0.0656675,0.0602093
14,0.0130704,0.0662463,0.0640034
15,0.0146448,0.066931,0.0666887
16,0.0174078,0.0674536,0.0632643
17,0.0195353,0.0721633,0.0697129
18,0.0213436,0.0751025,0.0736257
19,0.0232735,0.0786469,0.0743536
20,0.0248291,0.0763389,0.0758269
21,0.0278871,0.0808293,0.0791707
22,0.0307562,0.087099,0.0796151
23,0.0333363,0.0865312,0.0861925
24,0.0372252,0.0882826,0.0849384
25,0.0391421,0.0909244,0.0868879
26,0.0405769,0.0930787,0.0882734
27,0.0429615,0.0952142,0.0921864
28,0.0481118,0.100019,0.0969556
29,0.0522994,0.104917,0.101652
30,0.0600964,0.112464,0.109016
31,0.0621245,0.115711,0.111951
32,0.062926,0.116747,0.113068
33,0.0701733,0.123485,0.119693
34,0.0765766,0.130952,0.127145
35,0.0855379,0.145171,0.140475
36,0.0916032,0.153002,0.151666
37,0.0957822,0.160259,0.157018
38,0.100899,0.164499,0.159364
39,0.111405,0.178619,0.168958
40,0.124908,0.184986,0.183409
41,0.141612,0.203754,0.202575
42,0.166182,0.228588,0.22181
43,0.174003,0.232395,0.226431
44,0.182921,0.246782,0.241007
45,0.208209,0.273875,0.265603
46,0.237284,0.332598,0.29654
47,0.270898,0.349483,0.329227
48,0.305882,0.381717,0.370982
49,0.312439,0.401757,0.385873
50,0.331962,0.410272,0.406194
51,0.367897,0.518391,0.446507
52,0.414023,0.52945,0.49678
53,0.461406,0.589908,0.549187
54,0.519637,0.648343,0.609721
55,0.524003,0.616951,0.613267
56,0.55159,0.687677,0.638897
57,0.588069,0.704481,0.676701
58,0.642742,0.751157,0.732857
59,0.690075,0.835917,0.779075
60,0.766182,0.897515,0.858976
61,0.774777,0.913697,0.866352
62,0.803063,0.89868,0.894894
63,0.864974,1.02323,0.956819
64,0.93137,1.06058,1.02841
65,1.00107,1.19062,1.10054
66,1.07725,1.2446,1.18365
67,1.08894,1.41415,1.19236
68,1.11064,1.29436,1.22271
69,1.16418,1.32218,1.28181
70,1.24286,1.40612,1.35769
71,1.29984,1.54623,1.41597
72,1.38966,1.59476,1.50818
73,1.41901,1.61223,1.54525
74,1.44942,1.57262,1.57327
75,1.49348,1.72583,1.62151
76,1.54466,1.67937,1.67604
77,1.61236,1.74028,1.73298
78,1.67032,1.96816,1.80805
79,1.6751,1.89136,1.81819
80,1.70117,1.85376,1.84296
81,1.73832,1.94482,1.88505
82,1.78483,1.90854,1.93359
83,1.83233,2.10877,1.98133
84,1.89665,2.17902,2.05657
85,1.90496,2.0799,2.06902
86,1.92771,2.26095,2.08808
87,1.95573,2.24169,2.12618
88,1.99227,2.61225,2.16813
89,2.00933,2.31209,2.20576
90,2.0594,2.43474,2.25813
91,2.06259,2.26686,2.26644
92,2.08029,2.46514,2.28312
93,2.10841,2.47924,2.31738
94,2.13133,2.36265,2.34737
95,2.17077,2.47307,2.38661
96,2.22289,2.45283,2.44447
97,2.22979,2.59683,2.4454
98,2.24425,2.69118,2.46524
99,2.26614,2.68079,2.49156
100,2.29266,2.68879,2.52829
