Depth,Search,ThreadSearch,OMPSearch
0,3.3693e-05,0.00104705,0.0244615
1,0.000224532,0.00593453,0.00647635
2,0.000521831,0.0056148,0.00738322
3,0.00101855,0.00515148,0.0166469
4,0.00145454,0.00461123,0.0131856
5,0.00196808,0.00431045,0.0168492
6,0.00257894,0.00704677,0.0194949
7,0.00315105,0.00421933,0.0207627
8,0.003809,0.00654752,0.0230969
9,0.00538263,0.0104274,0.0309534
10,0.00734161,0.0289091,0.0503174
11,0.00983253,0.0189958,0.0636044
12,0.0120734,0.028958,0.0811437
13,0.012919,0.0242001,0.078944
14,0.0140876,0.0323294,0.0828136
15,0.0160173,0.0628717,0.0959829
16,0.0182397,0.0398297,0.118754
17,0.0205055,0.071705,0.125832
18,0.023593,0.0491154,0.149641
19,0.0248789,0.0561482,0.155055
20,0.0259844,0.113893,0.1499
21,0.0354505,0.109308,0.175632
22,0.0386935,0.145042,0.201455
23,0.0361125,0.167123,0.260212
24,0.0398536,0.115809,0.287965
25,0.0418628,0.235682,0.289258
26,0.0440598,0.104083,0.29984
27,0.0473868,0.269248,0.335829
28,0.0520821,0.134686,0.377836
29,0.0563762,0.162476,0.416732
30,0.0648831,0.212833,0.488943
31,0.0686674,0.204668,0.495826
32,0.0676377,0.430854,0.47693
33,0.0751727,0.309382,0.543438
34,0.0838055,0.288873,0.608214
35,0.0922892,0.574049,0.687512
36,0.103781,0.392939,0.78756
37,0.106545,0.542292,0.810242
38,0.113364,0.366882,0.824861
39,0.124191,0.372022,0.910999
40,0.140432,0.788507,1.05593
41,0.159313,0.522477,1.22226
42,0.177516,1.01267,1.38692
43,0.187134,1.20665,1.42375
44,0.19882,0.715685,1.43921
45,0.221712,0.683782,1.67873
46,0.254337,1.37195,1.96882
47,0.292189,2.07096,2.28346
48,0.328172,2.12666,2.64846
49,0.351477,1.74587,2.79226
50,0.370068,1.39243,2.80962
51,0.398361,2.93178,3.05034
52,0.458944,1.75483,3.38558
53,0.516037,2.81955,4.09106
54,0.582167,2.48124,4.18868
55,0.580417,4.49323,4.51218
56,0.607471,4.26978,4.73589
57,0.646439,3.45646,5.07084
58,0.70136,3.1086,5.52095
59,0.749756,5.93254,5.77912
60,0.835131,6.57637,6.58546
61,0.839142,6.65897,6.78249
62,0.871543,6.1614,6.94679
63,0.928785,7.33422,7.41925
64,0.990946,7.71272,8.06747
65,1.07038,8.57784,8.20723
66,1.1588,9.1849,9.48198
67,1.16937,8.41852,9.54599
68,1.18961,9.03791,9.56881
69,1.24841,9.60853,10.0457
70,1.30194,9.70013,10.2965
71,1.39817,9.72281,10.9418
72,1.44929,11.451,11.8815
73,1.48723,11.43,12.042
74,1.51362,11.9189,12.0839
75,1.57478,8.83734,12.5855
76,1.59586,11.7905,13.0066
77,1.68484,12.973,13.3473
78,1.75928,13.5816,13.7709
79,1.76617,13.3961,13.9219
80,1.79681,13.7485,14.1698
81,1.81157,13.2697,14.5948
82,1.86727,12.2684,14.7555
83,1.92597,11.0118,15.3444
84,1.97429,14.1917,15.655
85,1.98462,13.6519,15.9686
86,2.03757,15.5484,16.0183
87,2.04124,16.0322,16.3884
88,2.12591,16.1722,16.745
89,2.14746,13.3719,17.2661
90,2.1766,16.2307,17.4673
91,2.21526,16.0419,17.6069
92,2.22113,17.5157,17.743
93,2.24639,15.9113,18.0303
94,2.30152,18.2579,18.3356
95,2.33881,17.2377,18.5581
96,2.35794,18.5298,19.1045
97,2.3616,18.0261,19.0594
98,2.38065,18.2808,19.0491
99,2.44493,18.3785,19.391
100,2.47186,19.1697,19.4738
